The Town (2010)	Chen, Quan Liang	2010
Retaso (2007)	Veneracion, Ynez	2007
Beetle Juice (1988)	Turner, Douglas (I)	1988
Thank You for Smoking (2005)	Mantell, Michael	2005
Trois couleurs: Blanc (1994)	Binoche, Juliette	1994
Seabiscuit: Racing Through History (2003) (V)	Gable, Clark (I)	2003
Pirate 7: Sex Club (1998) (V)	Erika (X)	1998
The Blind Side (2009)	Dwyer, David (I)	2009
No Country for Old Men (2007)	Macdonald, Kelly	2007
Heintje - Einmal wird die Sonne wieder scheinen (1970)	Wolter, Ralf	1970
Rich from Within (2007)	Parham, Neisha	2007
The Perks of Being a Wallflower (2012)	Dawson, Rick (II)	2012
Ray (2004/I)	Benjamin, Matthew (I)	2004
Mystic River (2003)	Penn, Sean (I)	2003
The Great Dictator (1940)	Meyer, Torben	1940
The Dark Knight (2008)	Lynn, Noelle	2008
The Untouchables (1987)	Capponi, Ernest	1987
Despicable Me (2010)	Kyson, James	2010
One Flew Over the Cuckoo's Nest (1975)	Lloyd, Christopher (I)	1975
Ikiru (1952)	Yamada, Minosuke	1952
The Guard (2011)	Hitchings, Laura	2011
Amadeus (1984)	Malashock, John	1984
Moulin Rouge! (2001)	Verne, Aurel	2001
The Social Network (2010)	Heiman, Jesse	2010
The Third Man (1949)	Cotten, Joseph (I)	1949
The Lincoln Lawyer (2011)	Levieva, Margarita	2011
Labyrinth (1986)	Gilbert, Elizabeth A.	1986
Jodaeiye Nader az Simin (2011)	Nameni, Majid	2011
Shutter Island (2010)	Larson, Jill	2010
What's Eating Gilbert Grape (1993)	Kramer, David H.	1993
Moon Shoes (2009)	Sanders, Jake (I)	2009
Casino Royale (2006)	Campbell, Martin (I)	2006
Gattaca (1997)	Dorin, Ryan	1997
RudeBoiz 6: Hung Ladz (2007) (V)	McKenzie, Sean (IV)	2007
Citizen Kane (1941)	Ruskin, Shimen	1941
The Devil's Advocate (1997)	Henry, Gloria Lynne	1997
Ridiculus Mortis: Solo la muerte se flipa 2 veces (2007)	Caballero, Abraham	2007
The Ten Commandments (1956)	Roman, Ric	1956
Harry Potter and the Prisoner of Azkaban (2004)	Quartey, Ekow	2004
The King of Comedy (1982)	Bloch, Scotty	1982
eXXXtra eXXXtra: The Bad Girls of Hollywood (2007) (V)	Bauer, Otto (II)	2007
No Country for Old Men (2007)	Harper, Tess	2007
Matchstick Men (2003)	Rockwell, Sam	2003
Thirteen Days (2000)	Vidov, Oleg	2000
The Wicker Man (1973)	Cluer, Penny	1973
Doubt (2008/I)	Lonczak, Anna	2008
Malcolm X (1992)	Berman, David (I)	1992
The Fugitive (1993)	Foster, Reese	1993
Mississippi Burning (1988)	Davis, Ralnardo	1988
Sen to Chihiro no kamikakushi (2001)	Chiklis, Michael	2001
Thirteen Days (2000)	Baskin, Elya	2000
La dolce vita (1960)	Longarini, Ren?e	1960
Les choristes (2004)	Illouz, Bogdan	2004
Star Trek Into Darkness (2013)	Wren, Felicity	2013
Cinderella Man (2005)	DeWitt, Rosemarie	2005
Mississippi Burning (1988)	Bridgewater, Stephen	1988
Ferris Bueller's Day Off (1986)	Bellard, Lisa	1986
Casino (1995)	Courvoisier, Dave	1995
Broken Flowers (2005)	Sevigny, Chlo?	2005
Papillon (1973)	Sadoff, Fred	1973
Match Point (2005)	Raison, Miranda	2005
Hei jian gui jing tian (1970)	Hung, Chin-lien (I)	1970
The Evil Dead (1981)	Jarczewski, Debie	1981
The Illusionist (2006)	Redman, Erich	2006
Lord of War (2005)	Egorov, Konstantin	2005
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)	Corcoran, David (II)	2006
Romeoo (2007)	Raghu (VII)	2007
Atonement (2007)	Barker, Tom (VII)	2007
The Dark Knight Rises (2012)	Zion, John (I)	2012
Duck Soup (1933)	MacQuarrie, George (I)	1933
The Blind Side (2009)	Tuberville, Tommy	2009
The Blues Brothers (1980)	Hall, Willie (I)	1980
Tonari no Totoro (1988)	Nishimura, Tomohiro (I)	1988
Jerry Maguire (1996)	Tirico, Mike	1996
Incendies (2010)	Qabil, Ram	2010
Precious (2009/II)	Davoren, Joyce (II)	2009
The Ice Storm (1997)	Rosenblatt, Marcell	1997
Das Leben der Anderen (2006)	Brambach, Martin	2006
A Bug's Life (1998)	Brown, Kimberly J.	1998
Sideways (2004)	Kassis, Simon	2004
Control 6 (2007) (V)	Nails, Scott	2007
The Mist (2007)	Witwer, Sam	2007
City Lights (1931)	Myers, Harry (I)	1931
Man of Steel (2013)	Spence, Rebecca (I)	2013
Identity (2003)	Coffin, Frederick	2003
A Bug's Life (1998)	Burch, Anthony (I)	1998
Love Actually (2003)	Barge, Gillian	2003
Remember the Titans (2000)	Kristol, Grant-Blanks	2000
Do the Right Thing (1989)	Brunson, Mecca	1989
Across the Universe (2007)	Romano, R.J.	2007
Buffalo '66 (1998)	Mydcarz, Anthony	1998
Carlito's Way (1993)	Santiago, Elliot	1993
American History X (1998)	Lyons, Antonio David	1998
Iron Man Three (2013)	Simpkins, Ty	2013
Oldeuboi (2003)	Devon, Mari	2003
It's a Wonderful Life (1946)	Mack, Irene	1946
Jerry Maguire (1996)	Alfavo, Alberto	1996
Diarios de motocicleta (2004)	Cifuentes, Samuel	2004
Beasts of the Southern Wild (2012)	Lawrence, Philip (V)	2012
E.T. the Extra-Terrestrial (1982)	Toth, Frank (I)	1982
Annie Hall (1977)	Anzell, Hy	1977
Philadelphia (1993)	Callen, Michael	1993
In the Line of Fire (1993)	Hughes, Sally (I)	1993
Moonlight Sonata (2009)	Keith, Warren (I)	2009
The Player (1992)	Gibson, Althea	1992
Catch Me If You Can (2002)	Ruth, Robert (I)	2002
Rookies (2007) (V)	Synz, Kayla	2007
Master and Commander: The Far Side of the World (2003)	Boyd, Billy (I)	2003
Raising Arizona (1987)	Rocz, Bill	1987
Brazil (1985)	Planer, Nigel	1985
Rogue Time Lords (2007) (V)	Delgado, Roger	2007
Star Wars: Episode VI - Return of the Jedi (1983)	Jones, Glynn (I)	1983
Ed Wood (1994)	Martin, Alan (V)	1994
Harry Potter and the Order of the Phoenix (2007) (VG)	Hansler, Jonathan	2007
All About Eve (1950)	Ritter, Thelma	1950
He Du! (1970)	Greese, Wolfgang	1970
Monster (2003)	Vince, Pruitt Taylor	2003
The Social Network (2010)	Herbert, Charles (III)	2010
Harry Potter and the Sorcerer's Stone (2001)	Fearon, Ray	2001
Indiana Jones and the Temple of Doom (1984)	Marstand, Julia	1984
Trading Places (1983)	Garcia, Paul (IV)	1983
The Deer Hunter (1978)	Hicks, Parris	1978
Source Code (2011)	Hixson, Paula Jean	2011
Random Seating (2007)	Alexander, Scott (XIX)	2007
The Matrix (1999)	Goddard, Paul (I)	1999
Upon a Midnight Clear (2009)	Jones, Erika Pearl	2009
Half Nelson (2006)	Silver, Bryce	2006
Rosemary's Baby (1968)	Signorelli, Tom	1968
The World's Fastest Indian (2005)	Rogers, J. Owen	2005
Remnants (2007)	Hughes, Sam (VII)	2007
Diarios de motocicleta (2004)	Pastorini, Gustavo	2004
The Butterfly Effect (2004)	Apanowicz, Magda	2004
Titanic Explorer (1997) (VG)	Shearman, Alan	1997
Mr. Brooks (2007)	Posey, Matthew	2007
Hart am Wind (1970)	Urban, Klaus	1970
25th Hour (2002)	Bullock, Lawrence	2002
The Grapes of Wrath (1940)	Pindon, Walton	1940
Everything Is Illuminated (2005)	Marandic, Eugenin	2005
Dangerous Liaisons (1988)	Montagut, Fran?ois	1988
Rak haeng Siam (2007)	Udnun, Chaween	2007
Iron Man Three (2013)	Favreau, Jon (I)	2013
Star Wars: Episode VI - Return of the Jedi (1983)	Williams, Corey Dee	1983
There Will Be Blood (2007)	Hills, Robert (II)	2007
Harry Potter and the Deathly Hallows: Part 1 (2010)	Leonidas, Georgina (I)	2010
Ram Gopal Varma Ki Aag (2007)	Krishnamoorthi, Suchitra	2007
Wristcutters: A Love Story (2006)	Dukic, Goran	2006
No Man's Land (2001)	Sedmak, Peter	2001
Collateral (2004)	Schmidt, Charlie E.	2004
Silver Linings Playbook (2012)	Jeantet, Dennis	2012
Star Wars: Episode III - Revenge of the Sith (2005)	Nicholson, Paul (IV)	2005
Life of Brian (1979)	Harrison, George (I)	1979
Rockaway (2007)	Roberts, Jesse (I)	2007
Fantastic Mr. Fox (2009)	Furches, Jennifer	2009
I Am Sam (2001)	Steenburgen, Mary	2001
Stalag 17 (1953)	Reardon, Harry (II)	1953
Contact (1997)	Soles, Linden	1997
Charade (1963)	Thomass, Michel	1963
JFK (1991)	MacDonald, Ryan (I)	1991
Capote (2005)	Malboeuf, Don	2005
Invictus (2009)	Marais, Conrad	2009
Die Welle (2008)	Lau, Frederick	2008
Rise of the Planet of the Apes (2011)	Nielsen, Robin (I)	2011
Live Free or Die Hard (2007)	Palermo, Chris (I)	2007
Primal Fear (1996)	Boss, Mike	1996
Wristcutters: A Love Story (2006)	Meir, Sharone	2006
Reality Show (2007)	Z?rraga, Ricardo	2007
A Christmas Story (1983)	Wong, Johan Sebastian	1983
Incendies (2010)	Sami, Hussein	2010
Rise of the Footsoldier (2007)	Weddell, Philip	2007
Shichinin no samurai (1954)	Hayashi, Hiroshi (I)	1954
Star Wars: Episode III - Revenge of the Sith (2005)	Kleut, Goran D.	2005
The Adventures of Priscilla, Queen of the Desert (1994)	Pearce, Guy (I)	1994
Star Trek Into Darkness (2013)	Murray, Hiram A.	2013
The Curious Case of Benjamin Button (2008)	Lorio, Kevin	2008
Zero Dark Thirty (2012)	Singh, Sukhdeep (II)	2012
The Straight Story (1999)	D'Amico, Gary	1999
There Will Be Blood (2007)	Harvard, Russell	2007
Rezerwat (2007)	Drezek, Mariusz	2007
Chaplin (1992)	Cornell, Caroline	1992
Chasing Amy (1997)	Smith, Kevin (I)	1997
Magnolia (1999)	Hunt, Brad (I)	1999
It's a Wonderful Life (1946)	Ash, Sam (I)	1946
The Game (1997)	Turner, Keena (I)	1997
Hooligans (2005)	Dalman, Alec	2005
Chung Hing sam lam (1994)	Eng, Vickie	1994
