467	The Boy in the Striped Pyjamas (2008)
468	As Good as It Gets (1997)
469	The Last of the Mohicans (1992)
470	Close Encounters of the Third Kind (1977)
471	Les choristes (2004)
472	Kurenai no buta (1992)
473	The Machinist (2004)
474	Gone Baby Gone (2007)
475	Cabaret (1972)
476	300 (2006)
477	25th Hour (2002)
478	
479	Zombieland (2009)
480	Les triplettes de Belleville (2003)
481	The Game (1997)
482	In America (2002)
483	Frost/Nixon (2008)
484	Der Name der Rose (1986)
485	Road to Perdition (2002)
486	Happiness (1998)
487	Tombstone (1993)
488	The Station Agent (2003)
489	Lucky Number Slevin (2006)
490	Delicatessen (1991)
491	21 Grams (2003)
492	Adaptation. (2002)
493	Good Bye Lenin! (2003)
494	Sabrina (1954)
495	Empire of the Sun (1987)
496	The Last King of Scotland (2006)
497	Boksuneun naui geot (2002)
498	Kramer vs. Kramer (1979)
499	What's Eating Gilbert Grape (1993)
500	Blazing Saddles (1974)
501	Pride & Prejudice (2005)
502	Barton Fink (1991)
503	The Bourne Supremacy (2004)
504	Ocean's Eleven (2001)
505	Match Point (2005)
506	Back to the Future Part II (1989)
507	Love Actually (2003)
508	Stardust (2007)
509	Blood Simple. (1984)
510	Eastern Promises (2007)
511	
512	Mysterious Skin (2004)
513	
514	Kung fu (2004)
515	Harry Potter and the Prisoner of Azkaban (2004)
516	Midnight in Paris (2011)
517	Boyz n the Hood (1991)
518	127 Hours (2010)
519	Black Hawk Down (2001)
520	The Visitor (2007/I)
521	Grindhouse (2007)
522	Star Wars: Episode III - Revenge of the Sith (2005)
523	Lolita (1962)
524	Zodiac (2007)
525	Dead Man's Shoes (2004)
526	Short Cuts (1993)
527	
528	Ray (2004/I)
529	Man on Fire (2004)
530	Kiss Kiss Bang Bang (2005)
531	This Is England (2006)
532	The Last Samurai (2003)
533	Boy A (2007)
534	Rushmore (1998)
535	Gake no ue no Ponyo (2008)
536	Control (2007)
537	The King of Comedy (1982)
538	Mary Poppins (1964)
539	A Bronx Tale (1993)
540	The Hurt Locker (2008)
541	October Sky (1999)
542	The Butterfly Effect (2004)
543	The Goonies (1985)
544	Minority Report (2002)
545	Thank You for Smoking (2005)
546	The Player (1992)
547	Traffic (2000)
548	Coraline (2009)
549	Who Framed Roger Rabbit (1988)
550	Cloud Atlas (2012)
551	MASH (1970)
552	Fear and Loathing in Las Vegas (1998)
553	Stranger Than Fiction (2006)
554	Inside Man (2006)
555	Saw (2004)
556	Dead Man (1995)
557	The Wicker Man (1973)
558	Little Children (2006)
559	United 93 (2006)
560	Brokeback Mountain (2005)
561	Training Day (2001)
562	Milk (2008/I)
563	Night on Earth (1991)
564	
565	Munich (2005)
566	A Fish Called Wanda (1988)
567	The Producers (1967)
568	The Color Purple (1985)
569	Philadelphia (1993)
570	Malcolm X (1992)
571	Hugo (2011)
572	Juno (2007)
573	Papurika (2006)
574	28 Days Later... (2002)
575	The Blind Side (2009)
576	Watchmen (2009)
577	Celda 211 (2009)
578	Midnight Express (1978)
579	Trois couleurs: Blanc (1994)
580	
581	Lethal Weapon (1987)
582	Chinjeolhan geumjassi (2005)
583	Sense and Sensibility (1995)
584	Where Eagles Dare (1968)
585	Awakenings (1990)
586	Superbad (2007)
587	End of Watch (2012)
588	Primal Fear (1996)
589	Enter the Dragon (1973)
590	Titanic (1997)
591	Detachment (2011)
592	The Warriors (1979)
593	The Jungle Book (1967)
594	The Others (2001)
595	Harry Potter and the Deathly Hallows: Part 1 (2010)
596	Dangerous Liaisons (1988)
597	Sideways (2004)
598	Pinocchio (1940)
599	Cast Away (2000)
600	Collateral (2004)
601	Collateral Cuties (2004) (V)
602	Lord of War (2005)
603	The Illusionist (2006)
604	
605	Blowup (1966)
606	Kari-gurashi no Arietti (2010)
607	Remember the Titans (2000)
608	Moneyball (2011)
609	Kung Fu Panda (2008)
610	
611	Dazed and Confused (1993)
612	Billy Elliot (2000)
613	Jeux d'enfants (2003)
614	House of Sand and Fog (2003)
615	The Count of Monte Cristo (2002)
616	The Curse of the Were-Rabbit (2005)
617	Shine (1996)
618	Mad Max 2 (1981)
619	West Side Story (1961)
620	When Harry Met Sally... (1989)
621	La piel que habito (2011)
622	Iron Man Three (2013)
623	The Thin Red Line (1998)
624	Despicable Me (2010)
625	First Blood (1982)
626	Escape from Alcatraz (1979)
627	The Town (2010)
628	Funny Games (1997)
629	The Fifth Element (1997)
630	Garden State (2004)
631	The Kite Runner (2007)
632	Indiana Jones and the Temple of Doom (1984)
633	The Man Who Wasn't There (2001)
634	
635	The Godfather: Part III (1990)
636	Rise of the Planet of the Apes (2011)
637	Straw Dogs (1971)
638	The Naked Gun: From the Files of Police Squad! (1988)
639	Flipped (2010)
640	Batman (1989)
641	
642	
643	Volver (2006/I)
644	Equilibrium (2002)
645	Moulin Rouge! (2001)
646	The Omen (1976)
647	Looper (2012)
648	Sherlock Holmes (2009)
649	After Hours (1985)
650	A Few Good Men (1992)
651	The Hunt for Red October (1990)
652	Falling Down (1993)
653	Lost Highway (1997)
654	Army of Darkness (1992)
655	The Reader (2008)
656	The Abyss (1989)
657	The Assassination of Jesse James by the Coward Robert Ford (2007)
658	The Guns of Navarone (1961)
659	Leaving Las Vegas (1995)
660	Marathon Man (1976)
661	The Sandlot (1993)
662	The Evil Dead (1981)
663	Furious 6 (2013)
664	Following (1998)
665	Lo imposible (2012)
666	American Psycho (2000)
667	
668	Whale Rider (2002)
669	Serbuan maut (2011)
670	Hunger (2008)
671	The Crow (1994)
672	Good Night, and Good Luck. (2005)
673	Harry Potter and the Goblet of Fire (2005)
674	Die Hard: With a Vengeance (1995)
675	A History of Violence (2005)
676	X2 (2003)
677	High Fidelity (2000)
678	An American Werewolf in London (1981)
679	Jackie Brown (1997)
680	The Royal Tenenbaums (2001)
681	Dead Man Walking (1995)
682	Shi mian mai fu (2004)
683	
684	Braindead (1992)
685	Seven Pounds (2008)
686	Apollo 13 (1995)
687	Doubt (2008/I)
688	The Last Temptation of Christ (1988)
689	Lincoln (2012)
690	
691	Interview with the Vampire: The Vampire Chronicles (1994)
692	Up in the Air (2009/I)
693	The Man Who Knew Too Much (1956)
694	Field of Dreams (1989)
695	Ice Age (2002)
696	My Name Is Khan (2010)
697	RoboCop (1987)
698	The Fly (1986)
699	Robin Hood (1973)
700	The Little Mermaid (1989)
701	A Simple Plan (1998)
702	Scott Pilgrim vs. the World (2010)
703	Blow (2001)
704	The Place Beyond the Pines (2012)
705	Planes, Trains & Automobiles (1987)
706	American Splendor (2003)
707	The Piano (1993)
708	El orfanato (2007)
709	The Meaning of Life (1983)
710	A Single Man (2009)
711	Ghost Dog: The Way of the Samurai (1999)
712	Die Welle (2008)
713	Yip Man 2 (2010)
714	Quiz Show (1994)
715	Boys Don't Cry (1999)
716	Waking Life (2001)
717	Enemy at the Gates (2001)
718	Star Trek: First Contact (1996)
719	American Graffiti (1973)
720	Midnight Run (1988)
721	Now You See Me (2013/I)
722	Perfume: The Story of a Murderer (2006)
723	To Catch a Thief (1955)
724	Felon (2008)
725	Gangs of New York (2002)
726	The Croods (2013)
727	Elizabeth (1998)
728	Sweeney Todd: The Demon Barber of Fleet Street (2007)
729	Total Recall (1990)
730	The Constant Gardener (2005)
731	The Aviator (2004)
732	We Need to Talk About Kevin (2011)
733	The Texas Chain Saw Massacre (1974)
734	Zero Dark Thirty (2012)
735	Babel (2006)
736	Witness (1985)
737	Pi (1998)
738	Reign Over Me (2007)
739	
740	Source Code (2011)
741	A Nightmare on Elm Street (1984)
742	Jacob's Ladder (1990/I)
743	The Fisher King (1991)
744	Ghost World (2001)
745	The Great Debaters (2007)
746	The Ice Storm (1997)
747	The Three Burials of Melquiades Estrada (2005)
748	El espinazo del diablo (2001)
749	Mean Streets (1973)
750	The Hours (2002)
751	Pleasantville (1998)
752	The Painted Veil (2006)
753	Sleepy Hollow (1999)
754	Heavenly Creatures (1994)
755	The Great Gatsby (2013)
756	Hooligans (2005)
757	Bullitt (1968)
758	Notes on a Scandal (2006)
759	Take Shelter (2011)
760	Secondhand Lions (2003)
761	Crazy, Stupid, Love. (2011)
762	Sherlock Holmes: A Game of Shadows (2011)
763	I Am Sam (2001)
764	In the Bedroom (2001)
765	Bambi (1942)
766	Blue Valentine (2010)
767	The Natural (1984)
768	The Simpsons Movie (2007)
769	Open Range (2003)
770	Le grand bleu (1988)
771	The Proposition (2005)
772	Spider-Man 2 (2004)
773	Everything Is Illuminated (2005)
774	In the Loop (2009)
775	Fried Green Tomatoes (1991)
776	The Hurricane (1999)
777	Raising Arizona (1987)
778	Brick (2005)
779	The Descendants (2011)
780	The Queen (2006)
781	August Rush (2007)
782	Far from Heaven (2002)
783	Alice in Wonderland (1951)
784	
785	Capote (2005)
786	Cube (1997)
787	Poltergeist (1982)
788	Rudy (1993)
789	Trading Places (1983)
790	X-Men (2000)
791	The Mission (1986)
792	Clerks II (2006)
793	The Squid and the Whale (2005)
794	Man on the Moon (1999)
795	Beetle Juice (1988)
796	Carrie (1976)
797	A Perfect World (1993)
798	2046 (2004)
799	Running Scared (2006)
800	Nikita (1990)
801	The Devil's Advocate (1997)
802	Dirty Pretty Things (2002)
803	Master and Commander: The Far Side of the World (2003)
804	Dracula (1992)
805	Biutiful (2010)
806	Say Anything... (1989)
807	Transamerica (2005)
808	Chaplin (1992)
809	Life as a House (2001)
810	
811	Wonder Boys (2000)
812	Driving Miss Daisy (1989)
813	The Adventures of Tintin (2011)
814	Tootsie (1982)
815	The Bucket List (2007)
816	Suspiria (1977)
817	My Cousin Vinny (1992)
818	Corpse Bride (2005)
819	Menace II Society (1993)
820	Mission: Impossible - Ghost Protocol (2011)
821	Bound (1996)
822	Lars and the Real Girl (2007)
823	The Life of David Gale (2003)
824	Rescue Dawn (2006)
825	
826	Lady and the Tramp (1955)
827	Miracle (2004)
828	Harry Potter and the Half-Blood Prince (2009)
829	Sleepers (1996)
830	Revolutionary Road (2008)
831	Die unendliche Geschichte (1984)
832	The Bridges of Madison County (1995)
833	Best in Show (2000)
834	Harry Potter and the Order of the Phoenix (2007)
835	Freedom Writers (2007)
836	Wall Street (1987)
837	Swingers (1996)
838	The Boat That Rocked (2009)
839	Mr. Brooks (2007)
840	Dumbo (1941)
841	Hustle & Flow (2005)
842	Across the Universe (2007)
843	The Rock (1996)
844	Precious (2009/I)
845	Grosse Pointe Blank (1997)
846	Excalibur (1981)
847	Chi bi (2008)
848	The Cider House Rules (1999)
849	Layer Cake (2004)
850	King Kong (2005)
851	Chasing Amy (1997)
852	Harry Potter and the Sorcerer's Stone (2001)
853	Michael Clayton (2007)
854	Easy Rider (1969)
855	Superman (1978)
856	A Bridge Too Far (1977)
857	Labyrinth (1986)
858	World War Z (2013)
859	Limitless (2011/I)
860	
861	Fish Tank (2009)
862	An Education (2009)
863	Peter Pan (1953)
864	Sleeping Beauty (1959)
865	Rango (2011)
866	The Next Three Days (2010)
867	Shallow Grave (1994)
868	Rounders (1998)
869	Terms of Endearment (1983)
870	The English Patient (1996)
871	Eraserhead (1977)
872	Invictus (2009)
873	Spider-Man (2002)
874	
875	Buffalo '66 (1998)
876	Angel Heart (1987)
877	Flight (2012/I)
878	Paris, je t'aime (2006)
879	Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)
880	Crazy Heart (2009)
881	Thelma & Louise (1991)
882	Death at a Funeral (2007)
883	Mulan (1998)
884	Live Free or Die Hard (2007)
885	The Hudsucker Proxy (1994)
886	Much Ado About Nothing (1993)
887	The Animatrix (2003)
888	The Lincoln Lawyer (2011)
889	Back to the Future Part III (1990)
890	Beverly Hills Cop (1984)
891	Jane Eyre (2011)
892	Closer (2004/I)
893	Dr. No (1962)
894	Kung Fu Panda 2 (2011)
895	Animal Kingdom (2010)
896	Cape Fear (1991)
897	Before the Devil Knows You're Dead (2007)
898	Legends of the Fall (1994)
899	The Talented Mr. Ripley (1999)
900	Matchstick Men (2003)
901	Punch-Drunk Love (2002)
902	The Ghost Writer (2010)
903	Beasts of the Southern Wild (2012)
904	Videodrome (1983)
905	Home Alone (1990)
906	Planet Terror (2007)
907	Cinderella (1950)
908	The Guard (2011)
909	Ringu (1998)
910	The Fountain (2006)
911	Shame (2011)
912	Me and You and Everyone We Know (2005)
913	My Sister's Keeper (2009)
914	Contact (1997)
915	The Way Back (2010/I)
916	Monster (2003)
